Gene	Enterobacteriaceae	Endosymbiont	Gammaproteobacteria	Proteobacteria	Bacteria
rsmA	Not core essential	Core	Not core essential	Not core essential	Not core essential
rsmD	Not core essential	Core	Not core essential	Not core essential	Not core essential
rsmH	Not core essential	Core	Not core essential	Not core essential	Not core essential
serC	Not core essential	Core	Not core essential	Not core essential	Not core essential
smpB	Not core essential	Core	Not core essential	Not core essential	Not core essential
sodB	Not core essential	Core	Not core essential	Not core essential	Not core essential
sucA	Not core essential	Core	Not core essential	Not core essential	Not core essential
sucB	Not core essential	Core	Not core essential	Not core essential	Not core essential
surA	Not core essential	Core	Not core essential	Not core essential	Not core essential
tal	Not core essential	Core	Not core essential	Not core essential	Not core essential
terC	Not core essential	Core	Not core essential	Not core essential	Not core essential
tktA	Not core essential	Core	Not core essential	Not core essential	Not core essential
tpiA	Not core essential	Core	Not core essential	Not core essential	Not core essential
trpS	Not core essential	Core	Not core essential	Not core essential	Not core essential
truA	Not core essential	Core	Not core essential	Not core essential	Not core essential
truB	Not core essential	Core	Not core essential	Not core essential	Not core essential
trxA	Not core essential	Core	Not core essential	Not core essential	Not core essential
trxB	Not core essential	Core	Not core essential	Not core essential	Not core essential
tuf	Not core essential	Core	Not core essential	Not core essential	Not core essential
tusE	Not core essential	Core	Not core essential	Not core essential	Not core essential
ung	Not core essential	Core	Not core essential	Not core essential	Not core essential
yajC	Not core essential	Core	Not core essential	Not core essential	Not core essential
yajR	Not core essential	Core	Not core essential	Not core essential	Not core essential
ycfH	Not core essential	Core	Not core essential	Not core essential	Not core essential
ychF	Not core essential	Core	Not core essential	Not core essential	Not core essential
ygfZ	Not core essential	Core	Not core essential	Not core essential	Not core essential
yggX	Not core essential	Core	Not core essential	Not core essential	Not core essential
yhgN	Not core essential	Core	Not core essential	Not core essential	Not core essential
yibN	Not core essential	Core	Not core essential	Not core essential	Not core essential
yjgF	Not core essential	Core	Not core essential	Not core essential	Not core essential
yrbA	Not core essential	Core	Not core essential	Not core essential	Not core essential
zwf	Not core essential	Core	Not core essential	Not core essential	Not core essential
ubiG	Not core essential	Not core	Core essential	Core essential	Not core essential
hemL	Not core essential	Not core	Core essential	Not core essential	Not core essential
